행정구역,총인구수,연령구간인구수,2022년04월_계_0~9세,2022년04월_계_10~19세,2022년04월_계_20~29세,2022년04월_계_30~39세,2022년04월_계_40~49세,2022년04월_계_50~59세,2022년04월_계_60~69세,2022년04월_계_70~79세,2022년04월_계_80~89세,2022년04월_계_90~99세,2022년04월_계_100세 이상,2022년04월_남_총인구수,2022년04월_남_연령구간인구수,2022년04월_남_0~9세,2022년04월_남_10~19세,2022년04월_남_20~29세,2022년04월_남_30~39세,2022년04월_남_40~49세,2022년04월_남_50~59세,2022년04월_남_60~69세,2022년04월_남_70~79세,2022년04월_남_80~89세,2022년04월_남_90~99세,2022년04월_남_100세 이상,2022년04월_여_총인구수,2022년04월_여_연령구간인구수,2022년04월_여_0~9세,2022년04월_여_10~19세,2022년04월_여_20~29세,2022년04월_여_30~39세,2022년04월_여_40~49세,2022년04월_여_50~59세,2022년04월_여_60~69세,2022년04월_여_70~79세,2022년04월_여_80~89세,2022년04월_여_90~99세,2022년04월_여_100세 이상
서울특별시  (1100000000),9500480,9500480,570459,755004,1415503,1432168,1474827,1507408,1291867,703130,305966,42439,1709,4610082,4610082,292863,386562,679446,715548,730021,742833,610149,319594,121716,10935,415,4890398,4890398,277596,368442,736057,716620,744806,764575,681718,383536,184250,31504,1294
서울특별시 종로구 (1111000000),144005,144005,6768,10300,22714,19363,20664,24844,20421,11607,6328,958,38,69722,69722,3414,5094,10867,9664,9961,12451,10239,5181,2547,292,12,74283,74283,3354,5206,11847,9699,10703,12393,10182,6426,3781,666,26
서울특별시 종로구 청운효자동(1111051500),11853,11853,705,1137,1525,1549,2064,1916,1400,943,541,71,2,5461,5461,362,602,745,711,910,872,636,380,221,22,0,6392,6392,343,535,780,838,1154,1044,764,563,320,49,2
서울특별시 종로구 사직동(1111053000),9334,9334,542,676,1167,1463,1457,1540,1218,703,478,89,1,4161,4161,269,295,516,629,647,696,581,288,204,35,1,5173,5173,273,381,651,834,810,844,637,415,274,54,0
서울특별시 종로구 삼청동(1111054000),2412,2412,92,172,298,303,344,369,412,239,153,28,2,1151,1151,43,100,149,137,167,189,188,111,54,12,1,1261,1261,49,72,149,166,177,180,224,128,99,16,1
서울특별시 종로구 부암동(1111055000),9476,9476,476,841,1202,1185,1530,1686,1331,740,405,77,3,4514,4514,237,465,607,600,679,780,626,337,166,17,0,4962,4962,239,376,595,585,851,906,705,403,239,60,3
서울특별시 종로구 평창동(1111056000),18063,18063,1144,1564,2272,2169,2683,3254,2700,1318,792,158,9,8410,8410,604,764,1120,1011,1202,1473,1283,595,319,36,3,9653,9653,540,800,1152,1158,1481,1781,1417,723,473,122,6
서울특별시 종로구 무악동(1111057000),8164,8164,613,966,874,871,1377,1430,1044,601,346,37,5,3786,3786,275,427,411,401,645,722,498,254,140,12,1,4378,4378,338,539,463,470,732,708,546,347,206,25,4
서울특별시 종로구 교남동(1111058000),9978,9978,808,781,1164,1560,1766,1594,1198,709,362,33,3,4580,4580,394,370,535,701,826,768,553,273,150,10,0,5398,5398,414,411,629,859,940,826,645,436,212,23,3
서울특별시 종로구 가회동(1111060000),4038,4038,175,302,471,545,656,711,565,378,203,32,0,1857,1857,98,149,213,256,314,328,265,152,77,5,0,2181,2181,77,153,258,289,342,383,300,226,126,27,0
서울특별시 종로구 종로1.2.3.4가동(1111061500),7225,7225,177,219,980,974,905,1290,1393,808,410,66,3,4268,4268,93,110,478,554,552,884,920,454,202,19,2,2957,2957,84,109,502,420,353,406,473,354,208,47,1
서울특별시 종로구 종로5.6가동(1111063000),5095,5095,91,204,1148,750,530,886,760,471,225,29,1,2702,2702,43,93,529,440,315,516,435,223,98,10,0,2393,2393,48,111,619,310,215,370,325,248,127,19,1
서울특별시 종로구 이화동(1111064000),7214,7214,206,344,1615,1225,886,1084,929,562,314,46,3,3434,3434,104,166,757,610,439,551,433,246,110,17,1,3780,3780,102,178,858,615,447,533,496,316,204,29,2
